Species_id,scientificName,locality,latitude,longitude,eventDate
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,12-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,07-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,22-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,18-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,28-04-2017
1,Stipiturus mallee,"Nowingi Track, Hattah, Victoria, AU (-34.694, 142.271)",-34.6936023,142.2707975,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,28-05-2017
1,Stipiturus mallee,BL_Nowingi_03_03,-34.682,142.228,15-05-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,08-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Parkƒ??Nowingi / Konardin Track,-34.683611,142.271104,12-05-2019
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,16-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,26-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,28-05-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,08-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,27-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,11-05-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,07-05-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,14-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,28-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,26-05-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,18-05-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,23-05-2016
1,Stipiturus mallee,"AU-VIC-Hattah-Kulkyne National Park - -34.6916x142.2704 - 18 May 2017, 12:08 pm",-34.691631,142.270449,18-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,10-05-2018
1,Stipiturus mallee,BL_Nowingi_01_07,-34.6691,142.2275,15-05-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,27-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-05-2017
,Northiella haematogaster,Pinnaroo,-35.3495,140.9661,15-05-2016
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,16-05-2017
1,Stipiturus mallee,BL_Nowingi_03_05,-34.6849,142.2309,15-05-2016
1,Stipiturus mallee,BL_Nowingi_03_04,-34.683,142.231,15-05-2016
1,Stipiturus mallee,BL_Nowingi_12_04,-34.7014,142.2541,15-05-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,05-05-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,29-05-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,26-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,08-05-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,14-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,05-05-2016
1,Stipiturus mallee,BL_Nowingi_02_02,-34.6763,142.2442,15-05-2016
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,16-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-05-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,26-05-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,08-05-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,11-06-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,22-06-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,18-06-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,11-06-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,10-06-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Mournpall Track,-34.74271,142.34944,22-06-2016
1,Stipiturus mallee,"Hattah-Kulkyne National Park--Old Calder Hwy at -34.84142, 142.34951",-34.84142,142.34951,18-06-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,09-06-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,18-06-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,02-06-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,03-06-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track 1km N of Konardin Track,-34.6755132,142.2711039,14-06-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,11-06-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,08-06-2019
1,Stipiturus mallee,"(-34.695, 142.271)",-34.6948634,142.2706265,30-07-2019
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,17-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,31-07-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,08-07-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,31-07-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,31-07-2017
1,Stipiturus mallee,"Nowingi Track, Hattah, Victoria, AU (-34.694, 142.271)",-34.6941461,142.2705325,31-07-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,16-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,16-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,04-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,16-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,05-07-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,16-07-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-07-2015
1,Stipiturus mallee,"Nowingi Track, Hattah",-34.7090025,142.283644,03-07-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,10-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,31-07-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,17-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-07-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-07-2019
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,05-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,22-08-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,29-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,13-08-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-08-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,04-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,04-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,12-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,04-08-2016
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,29-08-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,11-08-2018
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,05-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,04-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,29-08-2015
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,05-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,12-08-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,21-08-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,17-08-2015
1,Stipiturus mallee,"Nowingi State Forest, Victoria",-34.6761703,142.2461486,13-08-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Old Calder Hwy,-34.6875,142.26333,18-08-2015
